iban,balance,interestRate,status,createdAt,customerId,maintenanceFee
GR1601101250000000012503001,12500.50,1.20,ACTIVE,2022-01-15,CUST001,NULL
GR1601101250000000012503002,150000.00,3.20,ACTIVE,2018-03-12,CUST001,25.00
GR1601101250000000012503003,3400.75,0.80,ACTIVE,2021-11-03,CUST002,NULL
GR1601101250000000012503004,7820.10,1.75,ACTIVE,2023-02-10,CUST003,12.50
GR1601101250000000012503005,21500.00,2.10,ACTIVE,2019-09-18,CUST003,NULL
GR1601101250000000012503006,450.30,0.65,INACTIVE,2021-01-07,CUST004,NULL
GR1601101250000000012503007,9800.90,1.40,ACTIVE,2022-06-25,CUST004,15.00
GR1601101250000000012503008,320.00,0.55,INACTIVE,2017-08-01,CUST005,NULL
GR1601101250000000012503009,6700.45,1.10,ACTIVE,2023-04-05,CUST006,NULL
GR1601101250000000012503010,20000.00,2.50,ACTIVE,2022-12-15,CUST007,18.00
GR1601101250000000012503011,8900.50,1.10,ACTIVE,2022-02-18,CUST001,NULL
GR1601101250000000012503012,15500.00,2.00,ACTIVE,2019-04-27,CUST001,20.00
GR1601101250000000012503013,780.00,0.60,INACTIVE,2021-07-04,CUST002,NULL
GR1601101250000000012503014,13400.75,1.90,ACTIVE,2019-12-09,CUST003,NULL
GR1601101250000000012503015,250.30,0.55,INACTIVE,2020-03-21,CUST003,NULL
GR1601101250000000012503016,9800.00,1.45,ACTIVE,2023-01-30,CUST004,NULL
GR1601101250000000012503017,42000.20,2.80,ACTIVE,2018-05-14,CUST004,25.00
GR1601101250000000012503018,0.00,0.50,INACTIVE,2020-08-02,CUST005,NULL
GR1601101250000000012503019,6150.90,1.20,ACTIVE,2021-11-19,CUST006,NULL
GR1601101250000000012503020,870.40,0.65,INACTIVE,2022-06-06,CUST007,NULL
GR1601101250000000012503021,1250.50,0.90,ACTIVE,2022-03-12,CUST008,NULL
GR1601101250000000012503022,15200.00,2.10,ACTIVE,2019-05-18,CUST008,18.00
GR1601101250000000012503023,3400.75,0.80,ACTIVE,2021-11-03,CUST009,NULL
GR1601101250000000012503024,7820.10,1.75,ACTIVE,2023-02-10,CUST010,NULL
GR1601101250000000012503025,21500.00,2.10,ACTIVE,2019-09-18,CUST010,22.50
GR1601101250000000012503026,450.30,0.65,INACTIVE,2021-01-07,CUST011,NULL
GR1601101250000000012503027,9800.90,1.40,ACTIVE,2022-06-25,CUST012,NULL
GR1601101250000000012503028,150000.00,3.20,ACTIVE,2018-03-12,CUST012,30.00
GR1601101250000000012503029,320.00,0.55,INACTIVE,2017-08-01,CUST013,NULL
GR1601101250000000012503030,6700.45,1.10,ACTIVE,2023-04-05,CUST014,NULL
GR1601101250000000012503031,5400.50,1.00,ACTIVE,2022-04-10,CUST015,NULL
GR1601101250000000012503032,15800.00,2.25,ACTIVE,2019-07-12,CUST015,20.00
GR1601101250000000012503033,3200.75,0.85,ACTIVE,2021-12-03,CUST016,NULL
GR1601101250000000012503034,8900.10,1.50,ACTIVE,2023-03-08,CUST017,NULL
GR1601101250000000012503035,21000.00,2.00,ACTIVE,2019-11-22,CUST017,18.50
GR1601101250000000012503036,500.30,0.65,INACTIVE,2021-02-15,CUST018,NULL
GR1601101250000000012503037,10000.90,1.45,ACTIVE,2022-07-25,CUST019,NULL
GR1601101250000000012503038,160000.00,3.30,ACTIVE,2018-06-12,CUST019,28.00
GR1601101250000000012503039,420.00,0.55,INACTIVE,2017-09-01,CUST020,NULL
GR1601101250000000012503040,6800.45,1.10,ACTIVE,2023-05-05,CUST021,NULL
