userId,username,password,role
1,gpapadopoulos,aK92mdL01pzX4rT5,INDIVIDUAL_CUSTOMER
2,mgeorgiou,B7xR3qW8n1m9L0kP,INDIVIDUAL_CUSTOMER
3,kdimitriou,v4N2m6K8j1H5g3F9,INDIVIDUAL_CUSTOMER
4,eioannou,T5r4E3w2Q1q0A9z8,INDIVIDUAL_CUSTOMER
5,dandreou,P0o9I8u7Y6t5R4e3,INDIVIDUAL_CUSTOMER
6,spanagiotou,L2k3J4h5G6f7D8s9,INDIVIDUAL_CUSTOMER
7,nvasilakis,Z1x2C3v4B5n6M7l8,INDIVIDUAL_CUSTOMER
8,apetrou,q1W2e3R4t5Y6u7I8,INDIVIDUAL_CUSTOMER
9,tkaragiannis,o9P0i8U7y6T5r4E3,INDIVIDUAL_CUSTOMER
10,kmakri,a1S2d3F4g5H6j7K8,INDIVIDUAL_CUSTOMER
11,galexiou,z9X8c7V6b5N4m3L2,INDIVIDUAL_CUSTOMER
12,vrizou,Q1a2Z3w4S5x6E7d8,INDIVIDUAL_CUSTOMER
13,plymperis,R4f5V6t7G8b9Y0h1,INDIVIDUAL_CUSTOMER
14,dchristou,U7j8M9i0K1o2L3p4,INDIVIDUAL_CUSTOMER
15,smichailidis,X5c4V3b2N1m0L9k8,INDIVIDUAL_CUSTOMER
16,zantoniou,J7h6G5f4D3s2A1q0,INDIVIDUAL_CUSTOMER
17,mgrigoriou,W2e3R4t5Y6u7I8o9,INDIVIDUAL_CUSTOMER
18,gstamou,p0O9i8U7y6T5r4E3,INDIVIDUAL_CUSTOMER
19,cnikolopoulos,M1n2B3v4C5x6Z7a8,INDIVIDUAL_CUSTOMER
20,mvlachou,S9d8F7g6H5j4K3l2,INDIVIDUAL_CUSTOMER
21,astefanou,1Q2w3E4r5T6y7U8i,INDIVIDUAL_CUSTOMER
22,ipapadaki,9O0p1A2s3D4f5G6h,INDIVIDUAL_CUSTOMER
23,pgalanis,7J8k9L0zX1cV2bN3,INDIVIDUAL_CUSTOMER
24,dkokkinou,m4Q5w6E7r8T9y0U1,INDIVIDUAL_CUSTOMER
25,sdiamantis,i2O3p4A5s6D7f8G9,INDIVIDUAL_CUSTOMER
26,asamara,h0J1k2L3z4X5c6V7,INDIVIDUAL_CUSTOMER
27,mkouris,b8N9m0Q1w2E3r4T5,INDIVIDUAL_CUSTOMER
28,frapti,y6U7i8O9p0A1s2D3,INDIVIDUAL_CUSTOMER
29,lzervos,f4G5h6J7k8L9z0X1,INDIVIDUAL_CUSTOMER
30,amanti,c2V3b4N5m6Q7w8E9,INDIVIDUAL_CUSTOMER
31,comp01,r0T1y2U3i4O5p6A7,COMPANY_CUSTOMER
32,comp02,s8D9f0G1h2J3k4L5,COMPANY_CUSTOMER
33,comp03,z6X7c8V9b0N1m2Q3,COMPANY_CUSTOMER
34,comp04,w4E5r6T7y8U9i0O1,COMPANY_CUSTOMER
35,comp05,p2A3s4D5f6G7h8J9,COMPANY_CUSTOMER
36,comp06,k0L1z2X3c4V5b6N7,COMPANY_CUSTOMER
37,comp07,m8Q9w0E1r2T3y4U5,COMPANY_CUSTOMER
38,comp08,i6O7p8A9s0D1f2G3,COMPANY_CUSTOMER
39,comp09,h4J5k6L7z8X9c0V1,COMPANY_CUSTOMER
40,comp10,b2N3m4Q5w6E7r8T9,COMPANY_CUSTOMER
41,comp11,y0U1i2O3p4A5s6D7,COMPANY_CUSTOMER
42,comp12,f8G9h0J1k2L3z4X5,COMPANY_CUSTOMER
43,comp13,c6V7b8N9m0Q1w2E3,COMPANY_CUSTOMER
44,comp14,r4T5y6U7i8O9p0A1,COMPANY_CUSTOMER
45,comp15,s2D3f4G5h6J7k8L9,COMPANY_CUSTOMER
46,comp16,z0X1c2V3b4N5m6Q7,COMPANY_CUSTOMER
47,comp17,w8E9r0T1y2U3i4O5,COMPANY_CUSTOMER
48,comp18,p6A7s8D9f0G1h2J3,COMPANY_CUSTOMER
49,comp19,k4L5z6X7c8V9b0N1,COMPANY_CUSTOMER
50,comp20,m2Q3w4E5r6T7y8U9,COMPANY_CUSTOMER
51,admin01,9K2jL1mN0pQ5rS3t,ADMIN
52,admin02,X4vC3bN2m1L0kJ9h,ADMIN
